item;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Oil of sesame seed;4000.0;5000.0;149500.0;205000.0;274000.0;438000.0;329000.0;84000.0;81000.0;40000.0;10000.0;4000.0;5500.0;4500.0;4600.0;4700.0;4000.0;3800.0;130.0;110.0;108.0;109.0;1994252.8;2101542.6;24.55;33.71;47.24;80.0;41.01;3101.0
Onions and shallots, dry (excluding dehydrated);2500.0;1500.0;8400.0;8500.0;9200.0;8500.0;12200.0;10000.0;15000.0;19000.0;12000.0;11450.0;12000.0;10000.0;8000.0;6000.0;5000.0;3000.0;3400.0;3600.0;3400.0;3600.0;113.0;81.1;1633752.0;1794417.0;1642106.0;1669992.0;1738165.0;1949716.6
Oranges;12640.0;11440.0;1425.71;1000.0;1300.0;1000.0;1300.0;1200.0;1000.0;1500.0;1800.0;13000.0;25000.0;11000.0;5020.0;11803.0;7930.0;9460.0;2250.0;2070.0;800.0;800.0;3600.0;3500.0;62.0;84.2;83.0;75.0;66.6;43500.0
Other berries and fruits of the genus vaccinium n.e.c.;1912000.0;2040000.0;5000.0;10000.0;15000.0;9000.0;8000.0;6000.0;6000.0;6000.0;8000.0;2500.0;4000.0;7000.0;8960.0;1275.0;6870.0;2850.0;9430.0;10066.0;10849.0;12816.0;800.0;800.0;3600.0;3200.0;4000.0;4200.0;4400.0;79100.0
Other fruits, n.e.c.;27800.0;28600.0;2758000.0;3615000.0;2549000.0;2438000.0;2070000.0;1697000.0;1401000.0;1416000.0;1240350.0;56090.0;38390.0;33170.0;32355.0;51381.0;98880.0;44570.0;9424.0;35244.0;56361.0;113374.0;15162.2;16351.4;800.0;700.0;900.0;1000.0;1200.0;3167794.7
Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.;70810.0;64300.0;20370.0;23000.0;30000.0;26000.0;16000.0;18000.0;29000.0;32000.0;45000.0;1461000.0;1631030.0;2451000.0;2517400.0;2066049.0;2221020.0;2236130.0;57402.0;209585.0;321041.0;524062.0;137816.2;89784.7;20815.0;17832.0;20044.0;19685.8;20626.9;137511.0
Other oil seeds, n.e.c.;2607370.0;2525640.0;45200.0;50000.0;70000.0;57000.0;48000.0;60000.0;88000.0;45000.0;90000.0;40000.0;42000.0;38000.0;20000.0;42800.0;31000.0;32000.0;2079850.0;1856509.0;1963103.0;1989991.0;453653.1;289582.6;78958.0;63438.0;39110.0;39805.5;31571.6;197700.0
Other pulses n.e.c.;76000.0;70000.0;2287250.0;1212100.0;1321591.0;1195571.0;657475.0;596736.0;813535.0;1269307.0;1264831.0;73500.0;95000.0;74000.0;66500.0;96000.0;47000.0;59600.0;28000.0;32000.0;30000.0;33000.0;2075881.8;2138477.1;9714.0;9095.0;10573.0;8770.4;3893.2;18295535.1
Other vegetables, fresh n.e.c.;146900.0;149800.0;55750.0;37180.0;51210.0;21371.0;13089.0;26292.0;37651.0;46111.0;56843.0;1049241.0;1239118.0;1122972.0;1150637.0;862644.0;1256829.0;1348888.0;41000.0;53000.0;62200.0;70000.0;0.0;0.0;2019209.0;2006655.0;2128047.0;2104195.0;1994127.0;1174579.9
Palm oil;38329700.0;37650371.0;112000.0;116000.0;166000.0;170000.0;105000.0;115000.0;135000.0;125000.0;152000.0;35768.0;47442.0;41404.0;47163.0;38762.0;70280.0;72630.0;1217839.0;2021004.0;1660016.0;1350167.0;35000.0;31600.0;0.0;0.0;0.0;0.0;40000.0;7900.0
